,사업장명,관광숙박업상세명,건물용도명,지번주소,도로명주소,위도,경도,객실수,시설면적,시설규모,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자,데이터갱신일자
355,스위스그랜드호텔서울,관광호텔업,,서울특별시 서대문구 홍은동 201-1 스위스그랜드호텔 ,"서울특별시 서대문구 연희로 353, 스위스그랜드호텔 (홍은동)",37.5891336843082,126.935298404392,503.0,116496.85,116497.0,19871214,,1,,,,,2020-11-03 02:40:00.0
356,24게스트하우스 신촌에비뉴엘점,,,"서울특별시 서대문구 창천동 31-92 8,9,10층","서울특별시 서대문구 명물길 19, 8,9,10층 (창천동, 경오빌딩)",,,,,,20160912,,1,,,,,2021-11-01 23:05:00.0
357,호텔 밀하우스,,,서울특별시 서대문구 창천동 29-56,서울특별시 서대문구 연세로2나길 5 (창천동),37.5563724085239,126.937943227653,,,,20180515,,1,,,,,2022-11-30 22:00:00.0
358,샤이닝 글로리 하우스,관광호텔업,호텔,서울특별시 마포구 망원동 397-2 샤이닝글로리하우스 ,"서울특별시 마포구 희우정로 90, 샤이닝글로리하우스 (망원동)",37.5537766421748,126.902923769549,69.0,3828.39,3828.0,20191230,,3,20220127,,,,2022-01-29 02:40:00.0
359,더 엠 호텔,가족호텔업,호텔,서울특별시 마포구 성산동 52-12 ,서울특별시 마포구 월드컵북로 120 (성산동),37.563993025812,126.913442268303,56.0,3043.28,3043.0,20121018,,3,20220208,,,,2022-02-10 02:40:00.0
360,Alveolus(앨비어러스),호스텔업,기타,서울특별시 마포구 망원동 405-27 ,서울특별시 마포구 희우정로16길 31 (망원동),37.5547053417362,126.903634304823,1.0,72.56,73.0,20160527,,3,20200929,,,,2020-10-07 02:40:00.0
361,NEO SEOUL,호스텔업,숙박시설,서울특별시 마포구 서교동 463-1 ,서울특별시 마포구 동교로 142-13 (서교동),37.554640513302,126.918136601117,18.0,654.2,654.0,20160906,,3,20220209,,,,2022-02-13 02:40:00.0
362,케이호스텔,호스텔업,숙박시설,서울특별시 마포구 신정동 98-1 ,서울특별시 마포구 서강로 19 (신정동),37.5451928692852,126.929971813277,27.0,976.4,976.0,20160906,,3,20220127,,,,2022-01-29 02:40:00.0
363,서울그랜드호스텔 이대,,,서울특별시 서대문구 대현동 101-17,"서울특별시 서대문구 신촌로 155, 8층 (대현동, 해암빌딩)",37.5568918752396,126.943405892772,,,,20170310,,1,,,,,2021-11-01 22:09:00.0
364,렉시호텔,,,서울특별시 서대문구 창천동 29-55,서울특별시 서대문구 연세로2가길 14 (창천동),37.5566038266868,126.937680922234,,,,20210323,,1,,,,,2021-11-02 00:08:00.0
