,사업장명,지번주소,도로명주소,위도,경도,인허가일자,인허가취소일자,영업상태코드,폐업일자,휴업시작일자,휴업종료일자,재개업일자
55,셀립 순라,서울특별시 종로구 권농동 127-1,서울특별시 종로구 율곡로10길 11 (권농동),37.5770258834462,126.991240571817,20150126,,1,,,,
56,로즈데일 인 독산,서울특별시 금천구 독산동 1006-112,서울특별시 금천구 범안로12길 29-29 (독산동),37.464822907317,126.893601814839,2022-02-18,,1,,,,
57,(주)아워홈 아벤트리호텔 종로점,서울특별시 종로구 견지동 65-1,서울특별시 종로구 우정국로 46 (견지동),37.5731321231843,126.983467010025,20120928,,3,20230113,,,
58,티마크호텔명동,서울특별시 중구 충무로3가 43,서울특별시 중구 충무로 15 (충무로3가),37.5625831076167,126.992568781307,20131016,,3,20220502,,,
59,페어몬트 앰배서더 서울(Fairmont Ambassador Seoul),서울특별시 영등포구 여의도동 22 파크원,"서울특별시 영등포구 여의대로 108, 파크원호텔 (여의도동)",37.526042541885,126.928299685623,20210217,,1,,,,
60,24게스트하우스동대문,서울특별시 중구 을지로7가 58-1,서울특별시 중구 을지로 280-2 (을지로7가),37.5653720284734,127.009054164218,20140620,,3,20211231,,,
61,아미드 호텔 서울,서울특별시 종로구 관훈동 198-42,서울특별시 종로구 인사동5길 38 (관훈동),37.5725945997533,126.984199188728,2012-11-09,,1,,,,
62,머큐어 앰배서더 서울 홍대,서울특별시 마포구 동교동 162-5 MERCURE 앰배서더 HOTEL 홍대,"서울특별시 마포구 양화로 144, MERCURE 앰배서더 HOTEL 홍대 (동교동)",37.5552870564155,126.922387127746,20211222,,1,,,,
63,오요5,서울특별시 중구 남산동2가 35-2,"서울특별시 중구 퇴계로18길 43, 지하1,1,2층 (남산동2가)",37.5589381968114,126.984843003587,2019-07-26,,1,,,,
64,호텔베뉴지,서울특별시 종로구 관수동 124 외1,서울특별시 종로구 청계천로 117 (관수동),37.5687357982902,126.990840158709,2012-04-04,,1,,,,
65,소테츠호텔즈 더 스프라지르 서울 동대문,서울특별시 중구 광희동2가 17 ,서울특별시 중구 장충단로 226 (광희동2가),37.5647127725644,127.007745751574,20150624,,1,,,,
