,평점,숙박가격,객실수,총후기,경쟁업소_수(1km내),경쟁업소_최단거리(1km내),경쟁업소_최장거리(1km내),경쟁업소_평균거리(1km내),버스정류장_수(1km내),지하철역_수(1km내),버스정류장_최단거리(1km내),버스정류장_평균거리(1km내),지하철역_최단거리(1km내),지하철역_평균거리(1km내),교통유동인구_월평균승차수(1km내),교통유동인구_월평균하차수(1km내),교통유동인구_월평균승하차총계(1km내),관광지_수(1km내),쇼핑몰_수(1km내),관광지_최단거리(1km내),관광지_평균거리(1km내),쇼핑몰_최단거리(1km내),쇼핑몰_평균거리(1km내)
527,4.8,130000,159,9,47,0.0,0.98,0.29,83,4,0.05,0.69,0.25,0.56,25788.33,26684.16,52472.49,7,8,0.16,0.55,0.25,0.49
528,4.8,400000,58,537,14,0.0,0.87,0.37,74,3,0.07,0.57,0.36,0.45,19703.37,20162.83,39866.21,6,3,0.74,0.88,0.92,0.94
529,4.3,60000,38,275,7,0.12,0.92,0.65,102,4,0.03,0.69,0.6,0.78,50170.51,50363.26,100533.77,3,6,0.22,0.42,0.53,0.78
530,4.7,65000,28,107,46,0.01,0.98,0.25,82,4,0.12,0.68,0.29,0.58,24759.34,25608.66,50368.0,7,8,0.11,0.53,0.23,0.43
531,3.2,40000,14,27,2,0.1,0.78,0.44,115,7,0.11,0.67,0.25,0.6,16842.45,16653.73,33496.18,13,2,0.35,0.76,0.85,0.9
532,4.4,65000,16,205,3,0.03,0.88,0.53,91,7,0.04,0.61,0.18,0.6,16077.01,15626.81,31703.82,5,5,0.27,0.53,0.42,0.73
534,4.7,75102,11,23,5,0.12,0.9,0.62,101,3,0.11,0.69,0.68,0.75,43286.7,43166.4,86453.1,4,5,0.29,0.57,0.55,0.74
535,4.0,45000,13,305,14,0.13,1.0,0.56,72,3,0.07,0.59,0.06,0.38,19514.34,19817.79,39332.12,5,2,0.69,0.85,0.69,0.69
536,3.8,55000,18,201,45,0.16,0.79,0.43,78,4,0.08,0.64,0.18,0.67,33941.66,34251.59,68193.25,8,11,0.35,0.66,0.14,0.55
539,4.3,40000,14,118,11,0.13,0.76,0.5,64,2,0.15,0.6,0.13,0.15,21571.72,21944.83,43516.56,3,2,0.65,0.77,0.76,0.77
540,4.3,75102,24,255,47,0.29,0.85,0.54,66,5,0.13,0.65,0.49,0.74,31193.84,31558.82,62752.66,6,9,0.55,0.72,0.38,0.74
541,4.3,65000,21,7,3,0.03,0.86,0.53,90,6,0.06,0.6,0.17,0.54,15032.82,14504.96,29537.79,5,5,0.25,0.51,0.4,0.73
543,3.3,75102,14,9,8,0.41,0.8,0.6,104,3,0.06,0.66,0.43,0.53,41138.62,41459.49,82598.11,4,4,0.54,0.71,0.32,0.54
544,4.8,80000,96,491,9,0.05,0.44,0.17,86,2,0.09,0.66,0.18,0.52,47196.89,45885.94,93082.83,9,4,0.12,0.7,0.12,0.49
545,4.7,80000,33,8012,10,0.02,0.7,0.17,43,2,0.09,0.54,0.24,0.26,62352.35,63282.34,125634.68,7,1,0.22,0.65,0.36,0.36
546,4.2,65000,46,12590,30,0.03,0.36,0.19,99,4,0.09,0.62,0.12,0.43,36913.12,36130.38,73043.5,12,7,0.12,0.56,0.12,0.39
547,4.6,100000,66,3286,32,0.0,0.86,0.33,90,5,0.1,0.63,0.25,0.6,39874.57,39745.61,79620.18,15,7,0.25,0.63,0.27,0.45
548,4.8,85000,58,530,10,0.04,0.56,0.16,54,2,0.06,0.6,0.13,0.15,50121.11,51143.18,101264.3,11,3,0.12,0.74,0.49,0.81
549,4.7,85000,42,7295,10,0.02,0.71,0.18,44,2,0.1,0.56,0.25,0.28,60850.68,61751.45,122602.13,7,1,0.24,0.65,0.35,0.35
550,4.6,75000,56,7802,30,0.02,0.35,0.2,100,4,0.07,0.63,0.1,0.41,36940.23,36194.38,73134.61,11,7,0.07,0.54,0.07,0.39
551,4.4,65000,34,9085,30,0.09,0.44,0.23,104,4,0.07,0.64,0.24,0.45,34744.56,34392.99,69137.55,16,7,0.1,0.63,0.04,0.4
552,4.5,80000,41,6145,11,0.4,0.74,0.6,92,5,0.05,0.67,0.42,0.6,46704.13,46636.91,93341.04,10,6,0.13,0.59,0.43,0.69
553,4.6,77000,49,4301,4,0.0,0.26,0.17,92,1,0.05,0.63,0.7,0.7,21088.64,20906.41,41995.05,8,2,0.28,0.78,0.37,0.47
554,4.5,75000,48,8729,30,0.02,0.46,0.26,103,5,0.09,0.64,0.21,0.56,42290.59,41001.01,83291.6,12,7,0.18,0.62,0.18,0.44
555,4.5,85000,40,5157,10,0.01,0.62,0.15,45,2,0.07,0.54,0.17,0.19,59672.04,60729.06,120401.1,8,1,0.16,0.67,0.43,0.43
556,4.8,85000,40,8589,10,0.02,0.73,0.19,43,2,0.11,0.56,0.27,0.29,61354.12,62471.29,123825.41,7,1,0.25,0.66,0.33,0.33
557,4.6,80000,45,8246,30,0.02,0.41,0.22,106,5,0.12,0.65,0.16,0.56,41186.06,40080.19,81266.25,12,7,0.14,0.59,0.14,0.41
558,4.9,75102,23,240,32,0.04,0.9,0.31,90,5,0.07,0.62,0.21,0.58,39784.09,39667.77,79451.86,15,8,0.22,0.63,0.24,0.51
559,4.6,75000,20,170,30,0.05,0.37,0.2,98,5,0.09,0.64,0.19,0.55,37686.27,37487.16,75173.43,14,7,0.14,0.57,0.13,0.4
560,4.8,75000,54,11062,30,0.03,0.35,0.19,99,4,0.09,0.63,0.1,0.42,36913.12,36130.38,73043.5,12,7,0.09,0.57,0.09,0.38
